dest,asset_role,confirmed_by,confirmed_at,notes
mad06s10-in-f17.1e100.net,web_server,mbjerkel@cisco.com,2026-04-29,
mail.air.01.crimsonia.net,mail,mbjerkel@cisco.com,2026-04-29,
mail.air.02.crimsonia.net,mail,mbjerkel@cisco.com,2026-04-29,
mail.caf.01.crimsonia.net,mail,mbjerkel@cisco.com,2026-04-29,
mail.caf.02.crimsonia.net,mail,mbjerkel@cisco.com,2026-04-29,
mail.elec.01.crimsonia.net,mail,mbjerkel@cisco.com,2026-04-29,
mail.elec.02.crimsonia.net,mail,mbjerkel@cisco.com,2026-04-29,
mail.port.01.crimsonia.net,mail,mbjerkel@cisco.com,2026-04-29,
mail.port.02.crimsonia.net,mail,mbjerkel@cisco.com,2026-04-29,
mgmt.rnd.air.01.crimsonia.net,remote_access,mbjerkel@cisco.com,2026-04-29,
mgmt.rnd.air.02.crimsonia.net,remote_access,mbjerkel@cisco.com,2026-04-29,
mgmt.rnd.port.01.crimsonia.net,remote_access,mbjerkel@cisco.com,2026-04-29,
mgmt.rnd.port.02.crimsonia.net,remote_access,mbjerkel@cisco.com,2026-04-29,
muc11s10-in-x03.1e100.net,web_server,mbjerkel@cisco.com,2026-04-29,
muc11s12-in-x0a.1e100.net,web_server,mbjerkel@cisco.com,2026-04-29,
muc11s13-in-x04.1e100.net,web_server,mbjerkel@cisco.com,2026-04-29,
muc11s23-in-x03.1e100.net,web_server,mbjerkel@cisco.com,2026-04-29,
multiai-reception.air.02.crimsonia.net,web_server,mbjerkel@cisco.com,2026-04-29,
multiai-reception.caf.02.crimsonia.net,remote_access,mbjerkel@cisco.com,2026-04-29,
multiai-reception.elec.01.crimsonia.net,remote_access,mbjerkel@cisco.com,2026-04-29,
multiai-reception.port.01.crimsonia.net,database remote_access web_server,mbjerkel@cisco.com,2026-04-29,
mws.caf.01.crimsonia.net,remote_access,mbjerkel@cisco.com,2026-04-29,
mws.caf.02.crimsonia.net,remote_access,mbjerkel@cisco.com,2026-04-29,
mws.elec.01.crimsonia.net,remote_access,mbjerkel@cisco.com,2026-04-29,
mws.port.01.crimsonia.net,database,mbjerkel@cisco.com,2026-04-29,
server-3-164-68-107.hel51.r.cloudfront.net,web_server,mbjerkel@cisco.com,2026-04-29,
sky-78-16-246-125.bas512.cwt.btireland.net,web_server,mbjerkel@cisco.com,2026-04-29,
sql.elec.01.crimsonia.net,database,mbjerkel@cisco.com,2026-04-29,
sql.port.01.crimsonia.net,database,mbjerkel@cisco.com,2026-04-29,
wac.air.01.crimsonia.net,remote_access,mbjerkel@cisco.com,2026-04-29,
wac.air.02.crimsonia.net,remote_access,mbjerkel@cisco.com,2026-04-29,
wac.elec.01.crimsonia.net,remote_access,mbjerkel@cisco.com,2026-04-29,
